,bzip2_gcc_b1c2c8b8.json,bzip2_go_19140ab0.json,bzip2_rs_pd_734ca4e0.json,factorize_gcc_19f3120b.json,factorize_go_ac545792.json,factorize_rs_7986d4cd.json,md5gcc_6477443e.json,md5go_f07553a4.json,md5rs_6c0401ce.json,sha256gcc_9de4683a.json,sha256go_784cc26b.json,sha256rs_0cd988fe.json
bzip2_gcc_b1c2c8b8.json,1.00,1.00,1.00,0.83,1.00,1.00,0.96,1.00,1.00,0.96,1.00,1.00
bzip2_go_19140ab0.json,,1.00,1.00,0.86,1.00,1.00,0.94,1.00,1.00,0.98,1.00,1.00
bzip2_rs_pd_734ca4e0.json,,,1.00,0.90,1.00,1.00,0.94,1.00,1.00,0.98,1.00,1.00
factorize_gcc_19f3120b.json,,,,1.00,0.86,0.88,0.66,0.86,0.88,0.61,0.86,0.88
factorize_go_ac545792.json,,,,,1.00,1.00,0.94,1.00,1.00,0.98,1.00,1.00
factorize_rs_7986d4cd.json,,,,,,1.00,0.93,1.00,1.00,0.97,1.00,1.00
md5gcc_6477443e.json,,,,,,,1.00,0.94,0.93,0.99,0.94,0.93
md5go_f07553a4.json,,,,,,,,1.00,1.00,0.98,1.00,1.00
md5rs_6c0401ce.json,,,,,,,,,1.00,0.97,1.00,1.00
sha256gcc_9de4683a.json,,,,,,,,,,1.00,0.98,0.97
sha256go_784cc26b.json,,,,,,,,,,,1.00,1.00
sha256rs_0cd988fe.json,,,,,,,,,,,,1.00

total duration,"34m 46.44s (2,086,436,395,454 nsec)"
