result,780452083,0.9316818179242823
left,birthmark,bzip2-1.0.6,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.6,op-seq,2026-04-17T04:57:47.828330+00:00,3908292
right,birthmark,bzip2-1.0.1,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.1,op-seq,2026-04-17T04:57:54.745901+00:00,4045000
matrix,,entry,_mySIGSEGVorSIGBUScatcher,_addFlagsFromEnvVar,_snocString,_usage,_mySignalCatcher,_compress,_uncompress,_testf,_showFileNames,_cleanUpAndFail,_cadvise,_outOfMemory,_panic,_setInterimPermissions,_pad,_copyDatePermissionsAndOwner,_uInt64_toAscii,_configError,_crcError,_OUTLINED_FUNCTION_0,_OUTLINED_FUNCTION_1,_BZ2_blockSort,_fallbackSort,_mainGtU,_BZ2_hbMakeCodeLengths,_BZ2_hbAssignCodes,_BZ2_hbCreateDecodeTables,_BZ2_bsInitWrite,_BZ2_compressBlock,_bsPutUInt32,_BZ2_decompress,_BZ2_bzlibVersion,_BZ2_bzCompressInit,_default_bzalloc,_default_bzfree,_BZ2_bzCompress,_handle_compress,_BZ2_bzCompressEnd,_BZ2_bzDecompressInit,_BZ2_indexIntoF,_BZ2_bzDecompress,_BZ2_bzDecompressEnd,_BZ2_bzWriteOpen,_BZ2_bzWrite,_BZ2_bzWriteClose,_BZ2_bzWriteClose64,_BZ2_bzReadOpen,_BZ2_bzReadClose,_BZ2_bzRead,_BZ2_bzReadGetUnused,_BZ2_bzBuffToBuffCompress,_BZ2_bzBuffToBuffDecompress,_BZ2_bzopen,_bzopen_or_bzdopen,_BZ2_bzdopen,_BZ2_bzread,_BZ2_bzwrite,_BZ2_bzflush,_BZ2_bzclose,_BZ2_bzerror,_add_pair_to_block,_ioError,_compressedStreamEOF,_main.cold.2,_main.cold.3,_BZ2_bz__AssertH__fail
0,entry,0.9804416403785489,0.01833976833976834,0.07165605095541401,0.021864951768488745,0.0032175032175032173,0.003861003861003861,0.47497546614327774,0.5006572461386789,0.5518118245390973,0.004826254826254826,0.07078507078507079,0.0045045045045045045,0.004826254826254826,0.004826254826254826,0.05125815470643057,0.005148005148005148,0.005791505791505791,0.013835263835263836,0.0045045045045045045,0.0006435006435006435,0.08155127679912604,0.20845598073320845,0.05562200956937799,0.16431800053177348,0.012540192926045015,0.07118739448508722,0.001287001287001287,0.06098714259844262,0.03217821782178218,0.02629137024435509,0.0006435006435006435,0.06392266916120985,0.0006430868167202572,0.0016087516087516086,0.04462279293739968,0.11488321564367192,0.01703084832904884,0.021153846153846155,0.006426735218508998,0.17233611173687768,0.01703084832904884,0.02630734680782804,0.03889065986611412,0.0006435006435006435,0.0645565653400188,0.03361075544174136,0.028470889315419065,0.043533523991102635,0.015434083601286173,0.10819360961720974,0.11350665821179455,0.0009652509652509653,0.11377436880792585,0.0009652509652509653,0.005789642972016726,0.0028957528957528956,0.0006435006435006435,0.03878205128205128,0.0035358405657344907,0.028669367404175757,0.005791505791505791,0.0016087516087516086,0.003861003861003861,0.005791505791505791,0,0,0
1,_mySIGSEGVorSIGBUScatcher,0.017981072555205046,1,0.19391634980988592,0.5301204819277109,0.17543859649122806,0.21052631578947367,0.009644670050761422,0.009460580912863071,0.032130777903043965,0.2413793103448276,0.25339366515837103,0.24561403508771928,0.2631578947368421,0.2631578947368421,0.16433566433566432,0.25862068965517243,0.3157894736842105,0.6666666666666666,0.24561403508771928,0.03508771929824561,0.0015619433864028718,0.040482954545454544,0.066815144766147,0.0440251572327044,0.30666666666666664,0.04419889502762431,0.03389830508474576,0.0011486840514288018,0.05166051660516605,0.047058823529411764,0.03508771929824561,0.14968152866242038,0.03389830508474576,0.08771929824561403,0.18023255813953487,0.056112224448897796,0.17525773195876287,0.1440677966101695,0.265625,0.02670481640438722,0.17525773195876287,0.23333333333333334,0.11229946524064172,0.03508771929824561,0.0949367088607595,0.17880794701986755,0.08609271523178808,0.13658536585365855,0.12631578947368421,0.135678391959799,0.12990196078431374,0.05263157894736842,0.15119363395225463,0.05263157894736842,0.2459016393442623,0.13793103448275862,0.03508771929824561,0.28378378378378377,0.07575757575757576,0.059322033898305086,0.3157894736842105,0.08771929824561403,0.21052631578947367,0.3157894736842105,0,0,0
2,_addFlagsFromEnvVar,0.0702685821361649,0.19391634980988592,1,0.22932330827067668,0.038910505836575876,0.04669260700389105,0.0335176805765041,0.040755467196819085,0.12958843159065628,0.058365758754863814,0.31043956043956045,0.050387596899224806,0.058365758754863814,0.058365758754863814,0.5014084507042254,0.0622568093385214,0.07003891050583658,0.16279069767441862,0.054474708171206226,0.007782101167315175,0.006987258528565557,0.18085106382978725,0.17474048442906576,0.2022029897718332,0.15057915057915058,0.3042291950886767,0.01556420233463035,0.0051791544073193346,0.25,0.17632241813602015,0.007782101167315175,0.3886138613861386,0.01556420233463035,0.015503875968992248,0.3896551724137931,0.2198443579766537,0.1760299625468165,0.23616236162361623,0.08494208494208494,0.11941008563273073,0.1760299625468165,0.3132075471698113,0.3377049180327869,0.007782101167315175,0.3062200956937799,0.38461538461538464,0.23809523809523808,0.3081570996978852,0.18076923076923077,0.39316239316239315,0.33535353535353535,0.011673151750972763,0.45080091533180777,0.011673151750972763,0.06976744186046512,0.03501945525291829,0.007782101167315175,0.3588850174216028,0.050387596899224806,0.21621621621621623,0.07003891050583658,0.019455252918287938,0.04669260700389105,0.07003891050583658,0,0,0
3,_snocString,0.021437578814627996,0.5301204819277109,0.22932330827067668,1,0.14285714285714285,0.17142857142857143,0.011502029769959404,0.011618257261410789,0.038288288288288286,0.19718309859154928,0.23404255319148937,0.2,0.21428571428571427,0.21428571428571427,0.1972318339100346,0.2112676056338028,0.2571428571428571,0.547945205479452,0.2,0.02857142857142857,0.0019181760885649303,0.048970901348474094,0.06724511930585683,0.04847537138389367,0.3373493975903614,0.062154696132596686,0.05714285714285714,0.0013904842512544586,0.08759124087591241,0.08108108108108109,0.02857142857142857,0.15789473684210525,0.04225352112676056,0.07142857142857142,0.24855491329479767,0.06274900398406374,0.27,0.23333333333333334,0.23684210526315788,0.029957203994293864,0.27,0.35294117647058826,0.20108695652173914,0.02857142857142857,0.15064102564102563,0.26490066225165565,0.18791946308724833,0.22388059701492538,0.2631578947368421,0.13414634146341464,0.12589073634204276,0.04285714285714286,0.17015706806282724,0.04285714285714286,0.2361111111111111,0.11267605633802817,0.02857142857142857,0.2848101265822785,0.13513513513513514,0.11914893617021277,0.2571428571428571,0.07142857142857142,0.17142857142857143,0.2571428571428571,0,0,0
4,_usage,0.0031545741324921135,0.17543859649122806,0.038910505836575876,0.14285714285714285,1,0.8333333333333334,0.001692047377326565,0.0016597510373443983,0.005636978579481398,0.5625,0.045454545454545456,0.6,0.6666666666666666,0.6666666666666666,0.032490974729241874,0.625,0.5555555555555556,0.23255813953488372,0.6,0.2,0.00027402515550927576,0.007102272727272727,0.014084507042253521,0.007867820613690008,0.13333333333333333,0.008534850640113799,0.16666666666666666,0.00020152351779452663,0.01276595744680851,0.028037383177570093,0.2,0.026143790849673203,0.16666666666666666,0.15384615384615385,0.05405405405405406,0.010030090270812437,0.09836065573770492,0.07317073170731707,0.21428571428571427,0.004770992366412214,0.09836065573770492,0.07446808510638298,0.05228758169934641,0.2,0.027491408934707903,0.06504065040650407,0.035398230088495575,0.0449438202247191,0.05263157894736842,0.02531645569620253,0.024752475247524754,0.3,0.026525198938992044,0.3,0.38095238095238093,0.35714285714285715,0.2,0.06716417910447761,0.14285714285714285,0.020100502512562814,0.5555555555555556,0.36363636363636365,0.8333333333333334,0.5555555555555556,0,0,0
5,_mySignalCatcher,0.0037854889589905363,0.21052631578947367,0.04669260700389105,0.17142857142857143,0.8333333333333334,1,0.0020304568527918783,0.001991701244813278,0.006764374295377677,0.5,0.05454545454545454,0.5294117647058824,0.8,0.8,0.039711191335740074,0.75,0.6666666666666666,0.27906976744186046,0.7333333333333333,0.16666666666666666,0.0003288301866111309,0.008522727272727272,0.014018691588785047,0.00944138473642801,0.1276595744680851,0.00851063829787234,0.14285714285714285,0.00024182822135343195,0.012658227848101266,0.027777777777777776,0.16666666666666666,0.032679738562091505,0.14285714285714285,0.13333333333333333,0.05333333333333334,0.012036108324974924,0.09523809523809523,0.07142857142857142,0.2,0.0057251908396946565,0.09523809523809523,0.07291666666666667,0.05161290322580645,0.16666666666666666,0.027303754266211604,0.064,0.034782608695652174,0.044444444444444446,0.05084745762711865,0.030379746835443037,0.0297029702970297,0.25,0.03183023872679045,0.25,0.34782608695652173,0.3125,0.16666666666666666,0.08208955223880597,0.13043478260869565,0.01990049751243781,0.6666666666666666,0.3076923076923077,1,0.5789473684210527,0,0,0
6,_compress,0.6304632867132867,0.013283616872523888,0.046479521398987575,0.01583973911017936,0.0023304591004427873,0.002796550920531345,0.7225599459642013,0.7104957718454651,0.3965001151277919,0.003495688650664181,0.05078034008851619,0.0032626427406199023,0.003495688650664181,0.003495688650664181,0.03771870029538741,0.0037287345607084597,0.004194826380797017,0.010020974131903984,0.0032626427406199023,0.00046609182008855747,0.11486523426821935,0.15201131999191428,0.03309951775537045,0.12682333873581847,0.008614668218859138,0.04898044986335926,0.0006989748369058714,0.08472496076616635,0.024019941083163382,0.016715608764400272,0.00046609182008855747,0.043132803632236094,0.0006989748369058714,0.0011652295502213937,0.030901486988847583,0.08249744114636642,0.012575687005123428,0.014395170652426282,0.004656577415599534,0.12645502645502646,0.012575687005123428,0.01812267657992565,0.025866050808314087,0.00046609182008855747,0.04304258710999772,0.02176933765632237,0.018763029881862403,0.02902557014512785,0.00906555090655509,0.0779848171152519,0.08030372756557755,0.0006991377301328362,0.07781112906949895,0.0006991377301328362,0.00395993477754484,0.0020974131903985084,0.00046609182008855747,0.026450116009280742,0.002328288707799767,0.0214123006833713,0.004194826380797017,0.0011652295502213937,0.002796550920531345,0.004194826380797017,0,0,0
7,_uncompress,0.7267565649396736,0.01380479534996367,0.059420289855072465,0.016953257447323806,0.002421893921046258,0.00290627270525551,0.6433131445408414,0.6839137645107795,0.4296439815936062,0.0036328408815693874,0.05328166626301768,0.0033906514894647614,0.0036328408815693874,0.0036328408815693874,0.04557322572988369,0.003875030273674013,0.004359409057883265,0.01041414386049891,0.0033906514894647614,0.0004843787842092516,0.10937542671436765,0.18463842533162172,0.046688132474701015,0.15335326783425887,0.00944081336238199,0.06908768821966342,0.0009687575684185032,0.08116099444846729,0.03442545109211776,0.02819905213270142,0.0004843787842092516,0.05397051830718022,0.0007263922518159806,0.001210946960523129,0.034107402031930335,0.1030772541424575,0.013068731848983543,0.018151016456921586,0.005082284607938045,0.15684816948522579,0.013068731848983543,0.02203923468152095,0.033816425120772944,0.0004843787842092516,0.05921841285063534,0.028059990324141266,0.02318840579710145,0.038600723763570564,0.012109469605231292,0.08933301228027932,0.09202601782702963,0.0007265681763138775,0.08945841392649903,0.0007265681763138775,0.004601598449987891,0.0021797045289416324,0.0004843787842092516,0.03021513173797438,0.002904865649963689,0.031503579952267304,0.004359409057883265,0.001210946960523129,0.00290627270525551,0.004359409057883265,0,0,0
8,_testf,0.516682257561584,0.03364817001180637,0.13562281722933645,0.04009433962264151,0.0059031877213695395,0.0070838252656434475,0.2751970484655375,0.28073668491786957,0.9352678571428571,0.00885478158205431,0.12920353982300886,0.008264462809917356,0.00885478158205431,0.00885478158205431,0.09871723368655884,0.009445100354191263,0.010625737898465172,0.02538370720188902,0.008264462809917356,0.0011806375442739079,0.04513109639279654,0.32564102564102565,0.09072164948453608,0.27253218884120173,0.022995283018867923,0.12084309133489461,0.0023612750885478157,0.033658978749118745,0.06956037840845854,0.056017748197448695,0.0011806375442739079,0.11807498601007274,0.0011792452830188679,0.0029515938606847697,0.08298999411418481,0.18546255506607928,0.03182086034177961,0.042352941176470586,0.011778563015312132,0.22772918691286037,0.03182086034177961,0.05185621685327048,0.08021077283372366,0.0011806375442739079,0.12224108658743633,0.06576629477392835,0.0563049853372434,0.0891089108910891,0.0295159386068477,0.20751445086705203,0.2176436448055717,0.0017709563164108619,0.21466275659824047,0.0017709563164108619,0.011216056670602124,0.005312868949232586,0.0011806375442739079,0.07344300822561692,0.007075471698113208,0.06070826306913996,0.010625737898465172,0.0029515938606847697,0.0070838252656434475,0.010625737898465172,0,0,0
9,_showFileNames,0.00473186119873817,0.2413793103448276,0.058365758754863814,0.19718309859154928,0.5625,0.5,0.0025380710659898475,0.0024896265560165973,0.008455467869222097,1,0.06334841628959276,0.6111111111111112,0.42857142857142855,0.42857142857142855,0.05434782608695652,0.55,0.375,0.3181818181818182,0.45,0.13333333333333333,0.0004110377332639136,0.01065340909090909,0.025821596244131457,0.011801730920535013,0.2727272727272727,0.017094017094017096,0.11764705882352941,0.00030228527669178993,0.03404255319148936,0.03211009174311927,0.13333333333333333,0.042483660130718956,0.11764705882352941,0.25,0.07333333333333333,0.015045135406218655,0.14285714285714285,0.13414634146341464,0.39285714285714285,0.00715648854961832,0.14285714285714285,0.10416666666666667,0.07096774193548387,0.13333333333333333,0.044673539518900345,0.0967741935483871,0.05172413793103448,0.055248618784530384,0.08333333333333333,0.03535353535353535,0.0345679012345679,0.2,0.037037037037037035,0.2,0.4782608695652174,0.5,0.13333333333333333,0.0962962962962963,0.16,0.04522613065326633,0.375,0.17647058823529413,0.5,0.5,0,0,0
10,_cleanUpAndFail,0.0473186119873817,0.3708609271523179,0.31715210355987056,0.30177514792899407,0.06666666666666667,0.08,0.02503382949932341,0.024896265560165973,0.08394366197183098,0.09271523178807947,0.6742081447963801,0.08609271523178808,0.1,0.1,0.2276657060518732,0.10666666666666667,0.12,0.2866666666666667,0.09333333333333334,0.013333333333333334,0.004110377332639136,0.1049645390070922,0.07317073170731707,0.11363636363636363,0.17901234567901234,0.1025974025974026,0.013157894736842105,0.0030228527669178993,0.09565217391304348,0.04046242774566474,0.013333333333333334,0.28611898016997167,0.013157894736842105,0.026490066225165563,0.1746031746031746,0.147,0.13736263736263737,0.11219512195121951,0.10828025477707007,0.06952380952380953,0.13736263736263737,0.17560975609756097,0.11895910780669144,0.013333333333333334,0.10579345088161209,0.1581196581196581,0.08898305084745763,0.13588850174216027,0.1111111111111111,0.3523573200992556,0.33816425120772947,0.02,0.38320209973753283,0.02,0.10457516339869281,0.06,0.013333333333333334,0.26905829596412556,0.044585987261146494,0.06191950464396285,0.12,0.03333333333333333,0.08,0.12,0,0,0
11,_cadvise,0.004416403785488959,0.24561403508771928,0.050387596899224806,0.2,0.6,0.5294117647058824,0.0023688663282571912,0.002323651452282158,0.007891770011273957,0.6111111111111112,0.058823529411764705,1,0.45,0.45,0.050724637681159424,0.5789473684210527,0.391304347826087,0.29545454545454547,0.6470588235294118,0.14285714285714285,0.00038363521771298605,0.009943181818181818,0.023474178403755867,0.011014948859166011,0.2222222222222222,0.01566951566951567,0.125,0.00028213292491233725,0.01680672268907563,0.03225806451612903,0.14285714285714285,0.04262295081967213,0.125,0.35714285714285715,0.08108108108108109,0.013026052104208416,0.16393442622950818,0.10843373493975904,0.35714285714285715,0.006679389312977099,0.16393442622950818,0.11702127659574468,0.07142857142857142,0.14285714285714285,0.041237113402061855,0.0975609756097561,0.06140350877192982,0.06741573033707865,0.10344827586206896,0.035443037974683546,0.03209876543209877,0.21428571428571427,0.03713527851458886,0.21428571428571427,0.5,0.4375,0.14285714285714285,0.072992700729927,0.12,0.029850746268656716,0.391304347826087,0.1875,0.5294117647058824,0.5238095238095238,0,0,0
12,_outOfMemory,0.00473186119873817,0.2631578947368421,0.058365758754863814,0.21428571428571427,0.6666666666666666,0.8,0.0025380710659898475,0.0024896265560165973,0.008455467869222097,0.42857142857142855,0.06818181818181818,0.45,1,1,0.046762589928057555,0.631578947368421,0.8333333333333334,0.3488372093023256,0.6111111111111112,0.13333333333333333,0.0004110377332639136,0.01065340909090909,0.013921113689095127,0.011801730920535013,0.12,0.00847457627118644,0.11764705882352941,0.00030228527669178993,0.0125,0.0273972602739726,0.13333333333333333,0.03908794788273615,0.11764705882352941,0.1111111111111111,0.05921052631578947,0.015045135406218655,0.09090909090909091,0.06896551724137931,0.18181818181818182,0.00715648854961832,0.09090909090909091,0.08163265306122448,0.05732484076433121,0.13333333333333333,0.030508474576271188,0.07086614173228346,0.03389830508474576,0.04945054945054945,0.04838709677419355,0.03535353535353535,0.0345679012345679,0.2,0.03978779840848806,0.2,0.3076923076923077,0.2631578947368421,0.13333333333333333,0.1044776119402985,0.11538461538461539,0.0196078431372549,0.8333333333333334,0.3333333333333333,0.8,0.5714285714285714,0,0,0
