,bzip2_amd64_darwin_clang_bb422561.json,bzip2_amd64_darwin_gcc_61bd47af.json,bzip2_amd64_darwin_go_e1d42f63.json,bzip2_amd64_darwin_rs-pure_b656f970.json,bzip2_amd64_darwin_rs-sys_26d20788.json,bzip2_amd64_darwin_tgo_6170c260.json,bzip2_amd64_linux_clang_ad366643.json,bzip2_amd64_linux_gcc_ccc4cf10.json,bzip2_amd64_linux_go_cf343d1a.json,bzip2_amd64_linux_rs-pure_f4511389.json,bzip2_amd64_linux_rs-sys_9751c6e7.json,bzip2_amd64_linux_tgo_cc1b5a2d.json,bzip2_amd64_windows_clang.exe_fb68290e.json,bzip2_amd64_windows_gcc.exe_2a5000a8.json,bzip2_amd64_windows_go.exe_8d915129.json,bzip2_amd64_windows_msvc.exe_4eddc4d6.json,bzip2_amd64_windows_rs-pure.exe_5b22b00c.json,bzip2_amd64_windows_rs-sys.exe_3e3736a4.json,bzip2_arm64_darwin_clang_34392dac.json,bzip2_arm64_darwin_gcc_3894c17c.json,bzip2_arm64_darwin_go_293ce2f9.json,bzip2_arm64_darwin_rs-pure_9d252a8f.json,bzip2_arm64_darwin_rs-sys_b370b5cd.json,bzip2_arm64_darwin_tgo_f357c0bc.json,bzip2_arm64_linux_clang_375294fc.json,bzip2_arm64_linux_gcc_a5af3ca9.json,bzip2_arm64_linux_go_3b3448f2.json,bzip2_arm64_linux_rs-pure_927550bd.json,bzip2_arm64_linux_rs-sys_e5a5c625.json,bzip2_arm64_linux_tgo_d72531be.json,bzip2_arm64_windows_clang.exe_797eefb0.json,bzip2_arm64_windows_gcc.exe_4b1549dd.json,bzip2_arm64_windows_go.exe_ed2de88c.json,bzip2_arm64_windows_msvc.exe_22595510.json,bzip2_arm64_windows_rs-pure.exe_1f25dd7f.json,bzip2_arm64_windows_rs-sys.exe_d6a1dc5d.json
bzip2_amd64_darwin_clang_bb422561.json,1.00,0.87,0.02,0.02,0.02,0.10,0.86,0.76,0.02,0.02,0.02,0.08,0.03,0.52,0.03,0.43,0.00,0.00,0.94,0.86,0.02,0.02,0.02,0.06,0.82,0.69,0.02,0.02,0.02,0.05,0.02,0.54,0.03,0.44,0.00,0.00
bzip2_amd64_darwin_gcc_61bd47af.json,,1.00,0.02,0.02,0.02,0.11,0.85,0.82,0.02,0.02,0.02,0.09,0.03,0.56,0.03,0.46,0.00,0.00,0.88,0.95,0.02,0.02,0.02,0.06,0.83,0.74,0.02,0.02,0.02,0.05,0.02,0.58,0.04,0.46,0.00,0.00
bzip2_amd64_darwin_go_e1d42f63.json,,,1.00,0.63,0.64,0.20,0.02,0.03,0.91,0.65,0.66,0.24,0.70,0.04,0.84,0.05,0.10,0.10,0.02,0.03,0.82,0.64,0.65,0.32,0.03,0.03,0.80,0.64,0.65,0.39,0.81,0.04,0.64,0.05,0.11,0.12
bzip2_amd64_darwin_rs-pure_b656f970.json,,,,1.00,0.98,0.16,0.02,0.02,0.66,0.82,0.81,0.18,0.55,0.03,0.60,0.04,0.14,0.14,0.02,0.02,0.58,0.94,0.93,0.24,0.02,0.02,0.58,0.93,0.92,0.29,0.67,0.03,0.46,0.04,0.16,0.16
bzip2_amd64_darwin_rs-sys_26d20788.json,,,,,1.00,0.16,0.02,0.02,0.66,0.82,0.82,0.18,0.56,0.03,0.61,0.04,0.14,0.14,0.02,0.02,0.59,0.95,0.94,0.25,0.02,0.02,0.58,0.94,0.93,0.30,0.68,0.03,0.46,0.04,0.15,0.16
bzip2_amd64_darwin_tgo_6170c260.json,,,,,,1.00,0.11,0.12,0.20,0.15,0.15,0.73,0.25,0.17,0.22,0.21,0.02,0.02,0.10,0.11,0.20,0.16,0.16,0.55,0.11,0.13,0.20,0.16,0.16,0.43,0.20,0.17,0.29,0.20,0.03,0.03
bzip2_amd64_linux_clang_ad366643.json,,,,,,,1.00,0.85,0.02,0.02,0.02,0.09,0.03,0.57,0.03,0.45,0.00,0.00,0.85,0.85,0.02,0.02,0.02,0.06,0.93,0.77,0.02,0.02,0.02,0.05,0.02,0.60,0.04,0.46,0.00,0.00
bzip2_amd64_linux_gcc_ccc4cf10.json,,,,,,,,1.00,0.03,0.02,0.02,0.10,0.03,0.65,0.03,0.49,0.00,0.00,0.77,0.83,0.03,0.02,0.02,0.07,0.86,0.87,0.03,0.02,0.02,0.06,0.03,0.67,0.04,0.51,0.00,0.00
bzip2_amd64_linux_go_cf343d1a.json,,,,,,,,,1.00,0.65,0.66,0.24,0.70,0.04,0.89,0.05,0.10,0.11,0.02,0.02,0.77,0.67,0.67,0.30,0.03,0.03,0.78,0.66,0.67,0.36,0.82,0.04,0.63,0.05,0.12,0.12
bzip2_amd64_linux_rs-pure_f4511389.json,,,,,,,,,,1.00,0.98,0.17,0.51,0.03,0.60,0.04,0.13,0.14,0.02,0.02,0.59,0.80,0.79,0.20,0.02,0.02,0.59,0.80,0.79,0.25,0.62,0.03,0.46,0.04,0.15,0.15
